ID,Category,Name,Sub Category
362,Occupational_Healthcare,G46-Belastung des Muskel- und Skelettsystems einschließlich Vibrationen,
363,Occupational_Healthcare,"G4-Gefahrstoffe, die Hautkrebs oder zur Krebsbildung neigende Hautveränderungen hervorrufen",
364,Occupational_Healthcare,G5-Ethylenglykoldinitrat oder Glycerindinitrat,
365,Occupational_Healthcare,G6-Schwefelkohlenstoff (Kohlendisulfid),
366,Occupational_Healthcare,G7-Kohlenmonoxid,
367,Occupational_Healthcare,G8-Benzol,
368,Occupational_Healthcare,G9-Quecksilber oder seine Verbindungen,
369,Occupational_Healthcare,Hörtest gemäß EI 070 10-118,
370,Occupational_Healthcare,Nachweis über Impfung Hepatitis A+B,
371,Occupational_Healthcare,Radioaktive Stoffe/Strahlung,
372,Occupational_Healthcare,Sehtest DIN 58220 T5,
373,Occupational_Healthcare,Sehtest DIN EN 4179 (jährliche Untersuchung),
374,Special_Knowledge,Berechtugungskonzepten im Umfeld Active Directory,
375,Special_Knowledge,Exchange,
376,Special_Knowledge,SharePoint,
377,Special_Knowledge,Zertifikate und Remote-Zugriffsverfahren,
378,Special_Knowledge,"Erfahrung mit technischen Schnittstellen, Windows Servern und Clients sowie Datenbanken",
379,Special_Knowledge,Erfahrung mit gesetzlichen Randbedingungen im Umfeld der Infomationstechnologie,
380,Special_Knowledge,Erfahrung im Betrieb und der Weiterentwicklung komplexer und verteilter Systeme und deren Schnittstellen,
381,Education,"Abgeschlossenes Studium der (Wirtschafts-) Informatik, der Betriebswirtschaftslehre oder eine vergleichbare Qualifikation mit hoher IT-Affinität",Studium
382,Special_Knowledge,"Experte im Umgang mit Atlassian Anwendungen (JIRA, Confluence sowie idealerweise JIRA Service Desk und BitBucket)",
383,Experience,Alias Modeler,Alias Modeler
384,Special_Knowledge,Excellent understanding of technical correlations,
385,Special_Knowledge,Understanding of technical correlations,
386,Special_Knowledge,Knowledge of material properties and manufacturing processes,
387,Additional_Qualification,"Unreal, Grasshopper and VR abilities",
388,Special_Knowledge,Triebwerkelektronik,
